Hostname Pattern Block_size Threads Bandwidth_KB/s IOPS Latency_mean Total_I/O_KB Rununtime_ms 
bench-node4 read 32k 4 58188 1818 2193.271957 3491488 60003
bench-node4 read 32k 8 137772 4305 1854.343368 8266624 60002
bench-node4 read 32k 16 236000 7375 2093.854239 10485760 44431
bench-node4 read 32k 32 323275 10102 3054.934088 10485760 32436
bench-node4 read 32k 64 326141 10191 6112.245621 10485760 32151
bench-node4 read 32k 128 324968 10155 12394.811438 10485760 32267
bench-node4 read 16k 1 6939 433 2297.869884 416368 60003
bench-node4 read 16k 2 14240 890 2239.709810 854448 60002
bench-node4 read 16k 4 31011 1938 2057.218344 1860768 60002
bench-node4 read 16k 8 76182 4761 1676.645088 4571088 60002
bench-node4 read 16k 16 129324 8082 1976.624216 7759728 60002
bench-node4 read 16k 32 174392 10899 2854.493727 10464048 60003
bench-node4 read 16k 64 177136 11071 5623.708887 10485760 59196
bench-node4 read 16k 128 177331 11083 11354.562965 10485760 59131
bench-node4 read 4k 1 1746 436 2281.840221 104820 60003
bench-node4 read 4k 2 3647 911 2185.577094 218876 60002
bench-node4 read 4k 4 8000 2000 1993.511070 480036 60002
bench-node4 read 4k 8 18947 4736 1685.308430 1136892 60002
bench-node4 read 4k 16 32104 8026 1990.628081 1926376 60003
bench-node4 read 4k 32 43068 10767 2969.410510 2584256 60004
bench-node4 read 4k 64 45890 11472 5575.197322 2753768 60007
bench-node4 read 4k 128 47275 11818 10824.318628 2837092 60012
bench-node4 read 2k 1 926 463 2151.749730 55572 60002
bench-node4 read 2k 2 1784 892 2233.640627 107092 60003
bench-node4 read 2k 4 3831 1915 2081.892472 229876 60002
bench-node4 read 2k 8 9195 4597 1736.574008 551748 60002
bench-node4 read 2k 16 14268 7134 2239.775459 856138 60002
bench-node4 read 2k 32 19812 9906 3227.594786 1188828 60005
bench-node4 read 2k 64 22474 11237 5691.801413 1348700 60010
bench-node4 read 2k 128 21810 10905 11730.549277 1309026 60017
bench-node4 read 1k 1 465 465 2142.292461 27908 60001
bench-node4 read 1k 2 1204 1204 1654.652246 72255 60002
bench-node4 read 1k 4 1817 1817 2194.365639 109064 60002
bench-node4 read 1k 8 3948 3948 2021.478815 237006 60022
bench-node4 read 1k 16 6588 6588 2425.661133 395305 60003
bench-node4 read 1k 32 9562 9562 3343.857103 573777 60004
bench-node4 read 1k 64 10519 10519 6080.403001 631249 60008
bench-node4 read 1k 128 10332 10332 12381.584764 620108 60016
Hostname Pattern Block_size Threads Bandwidth_KB/s IOPS Latency_mean Total_I/O_KB Rununtime_ms 
bench-node5 read 8192k 1 214345 26 38203.391406 10485760 48920
bench-node5 read 8192k 2 267814 32 59712.846094 10485760 39153
bench-node5 read 8192k 4 470656 57 68362.314063 10485760 22279
bench-node5 read 8192k 8 725356 88 85315.822656 10485760 14456
bench-node5 read 8192k 16 749196 91 158500.955469 10485760 13996
bench-node5 read 8192k 32 889603 108 277884.423438 10485760 11787
bench-node5 read 8192k 64 1011358 123 481131.688281 10485760 10368
