Hostname Pattern Block_size Threads Bandwidth_KB/s IOPS Latency_mean Total_I/O_KB Rununtime_ms 
bench-node3 write 16k 128 73825 4614 27726.426292 4431136 60022
bench-node3 write 4k 1 18602 4650 210.702045 1116156 60001
bench-node3 write 4k 2 32587 8146 241.268845 1955312 60001
bench-node3 write 4k 4 42978 10744 368.051482 2578772 60001
bench-node3 write 4k 8 45138 11284 705.671054 2711204 60064
bench-node3 write 4k 16 53210 13302 1199.518307 3192812 60003
bench-node3 write 4k 32 54949 13737 2325.875867 3297940 60018
bench-node3 write 4k 64 56934 14233 4492.362764 3416448 60007
bench-node3 write 4k 128 72708 18177 7036.876150 4363616 60015
bench-node3 write 2k 1 9951 4975 196.822990 597118 60001
bench-node3 write 2k 2 18106 9053 216.772399 1086438 60001
bench-node3 write 2k 4 30307 15153 260.017355 1818462 60001
bench-node3 write 2k 8 40403 20201 393.478576 2424244 60001
bench-node3 write 2k 16 44393 22196 718.220991 2663680 60002
bench-node3 write 2k 32 49948 24974 1278.806836 2997066 60003
bench-node3 write 2k 64 53609 26804 2384.883933 3216942 60007
bench-node3 write 2k 128 52811 26405 4843.748086 3169390 60013
bench-node3 write 1k 1 5223 5223 187.433658 313420 60001
bench-node3 write 1k 2 9620 9620 203.937877 577212 60001
bench-node3 write 1k 4 18648 18648 211.124315 1118964 60004
bench-node3 write 1k 8 29362 29362 270.249886 1761773 60001
bench-node3 write 1k 16 31717 31717 502.173948 1903135 60002
bench-node3 write 1k 32 35004 35004 911.950610 2100404 60003
bench-node3 write 1k 64 36108 36108 1769.833257 2167133 60017
bench-node3 write 1k 128 36339 36339 3519.439852 2180790 60011
bench-node4 write 8192k 1 63246 7 129507.592672 3801088 60100
bench-node4 write 8192k 2 66948 8 244706.309572 4022272 60080
bench-node4 write 8192k 4 81598 9 401511.791319 4907008 60136
bench-node4 write 8192k 8 86833 10 753838.484424 5259264 60567
bench-node4 write 8192k 16 81147 9 1601597.135922 5062656 62388
bench-node4 write 8192k 32 80841 9 3199449.982055 5021696 62118
bench-node4 write 8192k 64 85321 10 6014543.841705 5382144 63081
bench-node4 write 8192k 128 81079 9 11840579.275298 5505024 67897
bench-node4 write 4096k 1 56031 13 73087.624848 3362816 60016
bench-node4 write 4096k 2 65188 15 125644.787056 3923968 60194
bench-node4 write 4096k 4 70077 17 233774.625122 4206592 60028
bench-node4 write 4096k 8 76974 18 425630.790167 4665344 60609
bench-node4 write 4096k 16 83342 20 786081.135732 5009408 60106
bench-node4 write 4096k 32 78872 19 1653657.404580 4829184 61228
bench-node4 write 4096k 64 83183 20 3114510.015127 5144576 61846
bench-node4 write 4096k 128 83231 20 6173152.982073 5255168 63139
bench-node4 write 2048k 1 56573 27 36191.518094 3395584 60021
bench-node4 write 2048k 2 64591 31 63400.745378 3876864 60021
bench-node4 write 2048k 4 60340 29 135743.737853 3624960 60075
bench-node4 write 2048k 8 70187 34 233404.826867 4222976 60167
bench-node4 write 2048k 16 72396 35 452529.744131 4362240 60255
bench-node4 write 2048k 32 73340 35 887612.406336 4460544 60820
bench-node4 write 2048k 64 78356 38 1660011.226559 4827136 61605
bench-node4 write 2048k 128 83318 40 3083987.691765 5222400 62680
bench-node4 write 1024k 1 54858 53 18657.217662 3293184 60030
bench-node4 write 1024k 2 54723 53 37414.642079 3290112 60122
bench-node4 write 1024k 4 58207 56 70356.262680 3492864 60007
bench-node4 write 1024k 8 64728 63 126540.037388 3889152 60084
bench-node4 write 1024k 16 66950 65 244686.342125 4037632 60308
bench-node4 write 1024k 32 65839 64 497597.578472 3966976 60252
bench-node4 write 1024k 64 76058 74 858905.145248 4589568 60343
bench-node4 write 1024k 128 73721 71 1764869.090268 4503552 61089
bench-node4 write 512k 1 56216 109 9099.016383 3375104 60038
bench-node4 write 512k 2 55964 109 18287.790428 3359232 60024
bench-node4 write 512k 4 57151 111 35824.102105 3429888 60014
bench-node4 write 512k 8 58358 113 70174.412065 3505152 60062
bench-node4 write 512k 16 56078 109 146060.495665 3366400 60030
bench-node4 write 512k 32 61432 119 266193.017301 3699200 60216
bench-node4 write 512k 64 74704 145 438508.418642 4493312 60148
bench-node4 write 512k 128 87371 170 749636.317094 5286400 60505
bench-node4 write 256k 1 52190 203 4897.349951 3137536 60117
bench-node4 write 256k 2 51445 200 9943.702114 3088640 60037
bench-node4 write 256k 4 51962 202 19697.603169 3117824 60002
bench-node4 write 256k 8 53977 210 37932.044420 3238912 60005
bench-node4 write 256k 16 55742 217 73467.409623 3346688 60038
bench-node4 write 256k 32 59904 234 136727.276449 3595776 60025
