Hostname Pattern Block_size Threads Bandwidth_KB/s IOPS Latency_mean Total_I/O_KB Rununtime_ms 
bench-node4 randread 8192k 8 1047633 127 62111.239844 10485760 10009
bench-node4 randread 8192k 16 1138271 138 112954.696094 10485760 9212
bench-node4 randread 8192k 32 1176324 143 211154.730469 10485760 8914
bench-node4 randread 8192k 64 1174348 143 409313.999219 10485760 8929
bench-node4 randread 8192k 128 1116456 136 872323.329688 10485760 9392
bench-node4 randread 4096k 1 215454 52 18994.011328 10485760 48668
bench-node4 randread 4096k 2 350518 85 23311.676172 10485760 29915
bench-node4 randread 4096k 4 502384 122 32155.946484 10485760 20872
bench-node4 randread 4096k 8 754371 184 41457.650000 10485760 13900
bench-node4 randread 4096k 16 1160828 283 55621.537500 10485760 9033
bench-node4 randread 4096k 32 1128350 275 108989.201172 10485760 9293
bench-node4 randread 4096k 64 1151016 281 211778.619141 10485760 9110
bench-node4 randread 4096k 128 1152914 281 423130.593359 10485760 9095
bench-node4 randread 2048k 1 130094 63 15729.513379 7806976 60010
bench-node4 randread 2048k 2 218303 106 18416.187500 10485760 48033
bench-node4 randread 2048k 4 395465 193 20417.868750 10485760 26515
bench-node4 randread 2048k 8 1075793 525 14903.024023 10485760 9747
bench-node4 randread 2048k 16 1121231 547 28890.179297 10485760 9352
bench-node4 randread 2048k 32 1129931 551 57006.298828 10485760 9280
bench-node4 randread 2048k 64 1113374 543 110746.022852 10485760 9418
bench-node4 randread 2048k 128 1113256 543 219864.546094 10485760 9419
bench-node4 randread 1024k 1 93042 90 10993.108584 5582848 60003
bench-node4 randread 1024k 2 190190 185 10626.773340 10485760 55133
bench-node4 randread 1024k 4 373451 364 10774.558203 10485760 28078
bench-node4 randread 1024k 8 886070 865 9048.388086 10485760 11834
bench-node4 randread 1024k 16 1095004 1069 14765.104004 10485760 9576
bench-node4 randread 1024k 32 1077230 1051 30171.148047 10485760 9734
bench-node4 randread 1024k 64 1057778 1032 60095.204785 10485760 9913
bench-node4 randread 1024k 128 1063896 1038 116176.020703 10485760 9856
bench-node4 randread 512k 1 61436 119 8321.521806 3686400 60003
bench-node4 randread 512k 2 126749 247 8066.183036 7605760 60006
bench-node4 randread 512k 4 281549 549 7183.059814 10485760 37243
bench-node4 randread 512k 8 580478 1133 6777.953174 10485760 18064
bench-node4 randread 512k 16 1135191 2217 7083.824512 10485760 9237
bench-node4 randread 512k 32 1191157 2326 13632.685986 10485760 8803
bench-node4 randread 512k 64 1089656 2128 29656.744092 10485760 9623
bench-node4 randread 512k 128 1168850 2282 55464.783594 10485760 8971
bench-node4 randread 256k 1 40739 159 6271.649178 2444544 60005
bench-node4 randread 256k 2 87179 340 5860.466869 5231104 60004
bench-node4 randread 256k 4 197289 770 5135.911743 10485760 53149
bench-node4 randread 256k 8 423171 1653 4752.272388 10485760 24779
bench-node4 randread 256k 16 793834 3100 5070.371143 10485760 13209
bench-node4 randread 256k 32 913552 3568 8874.311157 10485760 11478
bench-node4 randread 256k 64 892253 3485 18257.072510 10485760 11752
bench-node4 randread 256k 128 902078 3523 36126.634253 10485760 11624
bench-node4 randread 128k 1 23275 181 5486.856200 1396608 60003
