Hostname Pattern Block_size Threads Bandwidth_KB/s IOPS Latency_mean Total_I/O_KB Rununtime_ms 
bench-node3 randwrite 16k 16 5845 365 43785.077121 354352 60622
bench-node3 randwrite 16k 32 6423 401 79695.890053 392624 61126
bench-node3 randwrite 16k 64 6635 414 154283.104461 405280 61075
bench-node3 randwrite 16k 128 6219 388 329162.877763 375008 60298
bench-node3 randwrite 4k 1 1833 458 2173.959213 114448 62435
bench-node3 randwrite 4k 2 2205 551 3615.272494 132348 60005
bench-node3 randwrite 4k 4 1902 475 8400.073812 114128 60001
bench-node3 randwrite 4k 8 1906 476 16775.396559 114384 60006
bench-node3 randwrite 4k 16 1922 480 33278.111323 115376 60019
bench-node3 randwrite 4k 32 2285 571 55973.989827 137224 60048
bench-node3 randwrite 4k 64 1978 494 129268.850750 118888 60095
bench-node3 randwrite 4k 128 1805 451 282743.601770 108912 60317
bench-node3 randwrite 2k 1 1102 551 1802.451296 66134 60001
bench-node3 randwrite 2k 2 1120 560 3556.923404 67236 60001
bench-node3 randwrite 2k 4 740 370 10785.737077 44454 60003
bench-node3 randwrite 2k 8 475 237 33653.396273 38640 81302
bench-node3 randwrite 2k 16 916 458 34873.700705 55056 60041
bench-node3 randwrite 2k 32 883 441 72432.758600 53024 60036
bench-node3 randwrite 2k 64 825 412 154581.844189 49804 60305
bench-node3 randwrite 2k 128 665 332 384690.092473 51518 77436
bench-node3 randwrite 1k 1 398 398 2504.029912 24539 61637
bench-node3 randwrite 1k 2 731 731 2725.448503 43886 60002
bench-node3 randwrite 1k 4 467 467 8542.797320 28059 60015
bench-node3 randwrite 1k 8 169 169 47179.448400 11376 67107
bench-node3 randwrite 1k 16 664 664 24056.374142 39910 60047
bench-node3 randwrite 1k 32 441 441 72477.923771 26499 60054
bench-node3 randwrite 1k 64 494 494 129291.670981 29749 60200
bench-node3 randwrite 1k 128 502 502 254441.904918 30216 60098
Hostname Pattern Block_size Threads Bandwidth_KB/s IOPS Latency_mean Total_I/O_KB Rununtime_ms 
bench-node4 randwrite 8192k 1 63993 7 127987.353945 3842048 60038
bench-node4 randwrite 8192k 2 66592 8 246001.346311 3997696 60032
bench-node4 randwrite 8192k 4 74901 9 437432.223230 4513792 60263
bench-node4 randwrite 8192k 8 81002 9 808711.616807 4874240 60174
bench-node4 randwrite 8192k 16 77112 9 1693312.674825 4685824 60766
bench-node4 randwrite 8192k 32 75978 9 3379147.226644 4734976 62320
bench-node4 randwrite 8192k 64 74138 9 6833855.023569 4866048 65635
bench-node4 randwrite 8192k 128 80910 9 12346217.907875 5513216 68140
bench-node4 randwrite 4096k 1 55764 13 73432.488998 3350528 60084
bench-node4 randwrite 4096k 2 57988 14 141241.377647 3481600 60039
bench-node4 randwrite 4096k 4 60717 14 269780.370370 3649536 60107
bench-node4 randwrite 4096k 8 71237 17 459895.121531 4280320 60085
bench-node4 randwrite 4096k 16 84529 20 772974.385726 5107712 60425
bench-node4 randwrite 4096k 32 77075 18 1694345.761613 4673536 60636
bench-node4 randwrite 4096k 64 74048 18 3487255.023132 4603904 62174
bench-node4 randwrite 4096k 128 76862 18 6560828.466067 5009408 65174
bench-node4 randwrite 2048k 1 59916 29 34167.100171 3598336 60056
bench-node4 randwrite 2048k 2 64842 31 63150.968947 3891200 60010
bench-node4 randwrite 2048k 4 65282 31 125460.099269 3919872 60045
bench-node4 randwrite 2048k 8 65158 31 251397.155776 3917824 60128
bench-node4 randwrite 2048k 16 73515 35 445637.886627 4425728 60201
bench-node4 randwrite 2048k 32 74491 36 876310.290264 4501504 60430
bench-node4 randwrite 2048k 64 74027 36 1707985.115891 4665344 63022
bench-node4 randwrite 2048k 128 71353 34 3499139.378185 4581376 64207
bench-node4 randwrite 1024k 1 66675 65 15345.503967 4000768 60004
bench-node4 randwrite 1024k 2 68140 66 30041.683196 4088832 60006
bench-node4 randwrite 1024k 4 67298 65 60845.372817 4045824 60118
bench-node4 randwrite 1024k 8 65751 64 124566.776654 3947520 60037
bench-node4 randwrite 1024k 16 67794 66 241518.256770 4083712 60237
bench-node4 randwrite 1024k 32 70610 68 463939.043259 4260864 60343
bench-node4 randwrite 1024k 64 77778 75 840781.655834 4695040 60364
bench-node4 randwrite 1024k 128 80911 79 1575184.669041 5030912 62178
bench-node4 randwrite 512k 1 76696 149 6662.921451 4601856 60001
bench-node4 randwrite 512k 2 74832 146 13670.880046 4490240 60004
bench-node4 randwrite 512k 4 74805 146 27364.415992 4488704 60005
bench-node4 randwrite 512k 8 69505 135 58913.570203 4178944 60124
bench-node4 randwrite 512k 16 67625 132 121115.162987 4058624 60016
bench-node4 randwrite 512k 32 70490 137 232375.741803 4231680 60032
bench-node4 randwrite 512k 64 83214 162 393665.075431 5016064 60279
bench-node4 randwrite 512k 128 90881 177 708740.458425 5566464 61250
bench-node4 randwrite 256k 1 78486 306 3249.469069 4709376 60002
bench-node4 randwrite 256k 2 75656 295 6754.772697 4539904 60007
bench-node4 randwrite 256k 4 70609 275 14489.444022 4237056 60007
bench-node4 randwrite 256k 8 72825 284 28109.073935 4369664 60002
bench-node4 randwrite 256k 16 73454 286 55744.554097 4408064 60011
bench-node4 randwrite 256k 32 71025 277 115311.706649 4262144 60009
bench-node4 randwrite 256k 64 68410 267 239346.192013 4115712 60162
bench-node4 randwrite 256k 128 86026 336 380722.086343 5167872 60073
bench-node4 randwrite 128k 1 44850 350 2842.268252 2691200 60004
bench-node4 randwrite 128k 2 46244 361 5523.390304 2774784 60002
bench-node4 randwrite 128k 4 38752 302 13199.150473 2326528 60035
bench-node4 randwrite 128k 8 52253 408 19584.264095 3135360 60003
bench-node4 randwrite 128k 16 42820 334 47811.497609 2569984 60017
bench-node4 randwrite 128k 32 43075 336 95064.822459 2587520 60069
bench-node4 randwrite 128k 64 38809 303 211029.314799 2331904 60086
bench-node4 randwrite 128k 128 31484 245 406208.204939 2430848 77207
bench-node4 randwrite 64k 1 28680 448 2220.320626 1720832 60001
bench-node4 randwrite 64k 2 21748 339 5872.904708 1304960 60002
bench-node4 randwrite 64k 4 24177 377 10576.117125 1450752 60005
bench-node4 randwrite 64k 8 26238 409 19500.553032 1574912 60022
bench-node4 randwrite 64k 16 25991 406 39383.361585 1560064 60021
bench-node4 randwrite 64k 32 23123 361 88545.346680 1388992 60068
bench-node4 randwrite 64k 64 21379 334 191546.363971 1285376 60123
bench-node4 randwrite 64k 128 25922 405 315825.247646 1556800 60056
bench-node4 randwrite 32k 1 14416 450 2208.837594 864992 60001
bench-node4 randwrite 32k 2 11285 352 5659.792675 677120 60001
bench-node4 randwrite 32k 4 11295 352 11319.974743 677824 60008
bench-node4 randwrite 32k 8 12400 387 20632.378975 744576 60043
bench-node4 randwrite 32k 16 12996 406 39381.885894 779904 60008
bench-node4 randwrite 32k 32 12223 381 83755.127252 733536 60010
bench-node4 randwrite 32k 64 11590 362 176655.688700 696640 60105
bench-node4 randwrite 32k 128 11644 363 351599.980925 701248 60220
bench-node4 randwrite 16k 1 7085 442 2247.304844 425136 60004
bench-node4 randwrite 16k 2 6347 396 5031.060449 380880 60008
bench-node4 randwrite 16k 4 6213 388 10291.569841 372848 60008
bench-node4 randwrite 16k 8 6084 380 21026.851048 367152 60339
bench-node4 randwrite 16k 16 6256 391 40904.753505 375440 60005
bench-node4 randwrite 16k 32 6083 380 84142.256111 367216 60360
bench-node4 randwrite 16k 64 6324 395 161873.116138 385472 60949
bench-node4 randwrite 16k 128 6580 411 311082.430888 396576 60261
bench-node4 randwrite 4k 1 1479 369 2697.713822 101000 68281
bench-node4 randwrite 4k 2 1450 362 5507.478526 87736 60470
bench-node4 randwrite 4k 4 1916 479 8340.647038 115004 60020
bench-node4 randwrite 4k 8 1886 471 16949.137179 113224 60018
bench-node4 randwrite 4k 16 1756 439 36422.531967 105420 60028
bench-node4 randwrite 4k 32 1400 350 91249.033134 84264 60159
bench-node4 randwrite 4k 64 1335 333 191384.028489 80312 60114
